x,tb,bb,cb,sb,db,ub,g,u,d,s,c,b, t                   
    2.1173461092E-03,    0.0000000000E+00,    1.9049011250E+02,    2.8209109207E+02,    3.3533578500E+02,    4.1854277601E+02,    4.1186418331E+02,    9.3091315300E+03,    4.6587862790E+02,    4.4579773344E+02,    3.3533578500E+02,    2.8209109207E+02,    1.9049011250E+02,   0.0000000000000000     
    2.1619300045E-03,    0.0000000000E+00,    1.8427976778E+02,    2.7328516877E+02,    3.2519117741E+02,    4.0635035824E+02,    3.9975126467E+02,    9.0017958222E+03,    4.5307280863E+02,    4.3339475358E+02,    3.2519117741E+02,    2.7328516877E+02,    1.8427976778E+02,   0.0000000000000000     
    2.2074526805E-03,    0.0000000000E+00,    1.7812388151E+02,    2.6455817115E+02,    3.1513802657E+02,    3.9426825286E+02,    3.8774846088E+02,    8.6971073832E+03,    4.4038175602E+02,    4.2110252813E+02,    3.1513802657E+02,    2.6455817115E+02,    1.7812388151E+02,   0.0000000000000000     
    2.2539339047E-03,    0.0000000000E+00,    1.7217025295E+02,    2.5610924854E+02,    3.0539849063E+02,    3.8255333289E+02,    3.7611228578E+02,    8.4025235051E+03,    4.2806794332E+02,    4.0917878740E+02,    3.0539849063E+02,    2.5610924854E+02,    1.7217025295E+02,   0.0000000000000000     
    2.3013938608E-03,    0.0000000000E+00,    1.6642233149E+02,    2.4794317616E+02,    2.9597798457E+02,    3.7121198405E+02,    3.6484910542E+02,    8.1182167768E+03,    4.1613797224E+02,    3.9762996185E+02,    2.9597798457E+02,    2.4794317616E+02,    1.6642233149E+02,   0.0000000000000000     
    2.3498531573E-03,    0.0000000000E+00,    1.6088264140E+02,    2.4006344625E+02,    2.8688046801E+02,    3.6024887601E+02,    3.5396357462E+02,    7.8443137672E+03,    4.0459667065E+02,    3.8646075298E+02,    2.8688046801E+02,    2.4006344625E+02,    1.6088264140E+02,   0.0000000000000000     
    2.3993328369E-03,    0.0000000000E+00,    1.5555265775E+02,    2.3247209594E+02,    2.7810824987E+02,    3.4966673178E+02,    3.4345840710E+02,    7.5808888501E+03,    3.9344685405E+02,    3.7567390090E+02,    2.7810824987E+02,    2.3247209594E+02,    1.5555265775E+02,   0.0000000000000000     
    2.4498543853E-03,    0.0000000000E+00,    1.5043267122E+02,    2.2516951970E+02,    2.6966177547E+02,    3.3946607656E+02,    3.3333412505E+02,    7.3279574785E+03,    3.8268906584E+02,    3.6526993126E+02,    2.6966177547E+02,    2.2516951970E+02,    1.5043267122E+02,   0.0000000000000000     
    2.5014397406E-03,    0.0000000000E+00,    1.4552164106E+02,    2.1815426523E+02,    2.6153939490E+02,    3.2964496444E+02,    3.2358878661E+02,    7.0854688649E+03,    3.7232129458E+02,    3.5524687972E+02,    2.6153939490E+02,    2.1815426523E+02,    1.4552164106E+02,   0.0000000000000000     
    2.5541113029E-03,    0.0000000000E+00,    1.4081703514E+02,    2.1142281154E+02,    2.5373711117E+02,    3.2019868111E+02,    3.1421768959E+02,    6.8532980229E+03,    3.6233866657E+02,    3.4559999247E+02,    2.5373711117E+02,    2.1142281154E+02,    1.4081703514E+02,   0.0000000000000000     
    2.6078919439E-03,    0.0000000000E+00,    1.3631465624E+02,    2.0496932790E+02,    2.4624830657E+02,    3.1111942106E+02,    3.0521304947E+02,    6.6312371211E+03,    3.5273311186E+02,    3.3632140072E+02,    2.4624830657E+02,    2.0496932790E+02,    1.3631465624E+02,   0.0000000000000000     
    2.6628050169E-03,    0.0000000000E+00,    1.3200845343E+02,    1.9878541208E+02,    2.3906344559E+02,    3.0239593694E+02,    2.9656364996E+02,    6.4189860974E+03,    3.4349300166E+02,    3.2739976743E+02,    2.3906344559E+02,    1.9878541208E+02,    1.3200845343E+02,   0.0000000000000000     
    2.7188743669E-03,    0.0000000000E+00,    1.2783983524E+02,    1.9278927228E+02,    2.3208935418E+02,    2.9391781572E+02,    2.8815945189E+02,    6.2136374747E+03,    3.3450381878E+02,    3.1872368224E+02,    2.3208935418E+02,    1.9278927228E+02,    1.2783983524E+02,   0.0000000000000000     
    2.7761243411E-03,    0.0000000000E+00,    1.2354834305E+02,    1.8661708900E+02,    2.2491140455E+02,    2.8519345879E+02,    2.7951055416E+02,    6.0022665264E+03,    3.2525551251E+02,    3.0979704443E+02,    2.2491140455E+02,    1.8661708900E+02,    1.2354834305E+02,   0.0000000000000000     
    2.8345797993E-03,    0.0000000000E+00,    1.1941831719E+02,    1.8066626463E+02,    2.1798266714E+02,    2.7676028407E+02,    2.7115249016E+02,    5.7989818959E+03,    3.1630583904E+02,    3.0116225489E+02,    2.1798266714E+02,    1.8066626463E+02,    1.1941831719E+02,   0.0000000000000000     
    2.8942661247E-03,    0.0000000000E+00,    1.1545152420E+02,    1.7493941463E+02,    2.1130623316E+02,    2.6862211168E+02,    2.6308904883E+02,    5.6038701230E+03,    3.0765886886E+02,    2.9282320926E+02,    2.1130623316E+02,    1.7493941463E+02,    1.1545152420E+02,   0.0000000000000000     
    2.9552092352E-03,    0.0000000000E+00,    1.1164890157E+02,    1.6943802606E+02,    2.0488392895E+02,    2.6078129102E+02,    2.5532255055E+02,    5.4169761876E+03,    2.9931716633E+02,    2.8478232718E+02,    2.0488392895E+02,    1.6943802606E+02,    1.1164890157E+02,   0.0000000000000000     
    3.0174355942E-03,    0.0000000000E+00,    1.0801045207E+02,    1.6416231269E+02,    1.9871615290E+02,    2.5323851010E+02,    2.4785365681E+02,    5.2382982199E+03,    2.9128159357E+02,    2.7704036051E+02,    1.9871615290E+02,    1.6416231269E+02,    1.0801045207E+02,   0.0000000000000000     
    3.0809722225E-03,    0.0000000000E+00,    1.0453512872E+02,    1.5911105742E+02,    1.9280169792E+02,    2.4599258798E+02,    2.4068116314E+02,    5.0677817450E+03,    2.8355109708E+02,    2.6959618467E+02,    1.9280169792E+02,    1.5911105742E+02,    1.0453512872E+02,   0.0000000000000000     
    3.1458467096E-03,    0.0000000000E+00,    1.0122070977E+02,    1.5428144088E+02,    1.8713755847E+02,    2.3904024907E+02,    2.3380177383E+02,    4.9053134281E+03,    2.7612247563E+02,    2.6244657171E+02,    1.8713755847E+02,    1.5428144088E+02,    1.0122070977E+02,   0.0000000000000000     
    3.2120872263E-03,    0.0000000000E+00,    9.8063662899E+01,    1.4966885529E+02,    1.8171872088E+02,    2.3237587788E+02,    2.2720985732E+02,    4.7507142800E+03,    2.6899012806E+02,    2.5558594371E+02,    1.8171872088E+02,    1.4966885529E+02,    9.8063662899E+01,   0.0000000000000000     
    3.2797225364E-03,    0.0000000000E+00,    9.5058997874E+01,    1.4526670242E+02,    1.7653793572E+02,    2.2599125277E+02,    2.2089718043E+02,    4.6037322841E+03,    2.6214577942E+02,    2.4900610507E+02,    1.7653793572E+02,    1.4526670242E+02,    9.5058997874E+01,   0.0000000000000000     
    3.3487820092E-03,    0.0000000000E+00,    9.2200106688E+01,    1.4106617436E+02,    1.7158547090E+02,    2.1987525713E+02,    2.1485262022E+02,    4.4640343998E+03,    2.5557818387E+02,    2.4269595203E+02,    1.7158547090E+02,    1.4106617436E+02,    9.2200106688E+01,   0.0000000000000000     
    3.4192956328E-03,    0.0000000000E+00,    8.9478590350E+01,    1.3705601600E+02,    1.6684884401E+02,    2.1401356613E+02,    2.0906185148E+02,    4.3311978969E+03,    2.4927280255E+02,    2.3664115773E+02,    1.6684884401E+02,    1.3705601600E+02,    8.9478590350E+01,   0.0000000000000000     
    3.4912940264E-03,    0.0000000000E+00,    8.6685422703E+01,    1.3295086781E+02,    1.6200753543E+02,    2.0803254662E+02,    2.0315193579E+02,    4.1947559950E+03,    2.4284623387E+02,    2.3046635087E+02,    1.6200753543E+02,    1.3295086781E+02,    8.6685422703E+01,   0.0000000000000000     
    3.5648084540E-03,    0.0000000000E+00,    8.3860955488E+01,    1.2880607568E+02,    1.5712390570E+02,    2.0200517020E+02,    1.9719567515E+02,    4.0567265461E+03,    2.3637355520E+02,    2.2424492322E+02,    1.5712390570E+02,    1.2880607568E+02,    8.3860955488E+01,   0.0000000000000000     
    3.6398708381E-03,    0.0000000000E+00,    8.1140517278E+01,    1.2480674212E+02,    1.5240613209E+02,    1.9617449141E+02,    1.9143562539E+02,    3.9238822389E+03,    2.3010444735E+02,    2.1822117109E+02,    1.5240613209E+02,    1.2480674212E+02,    8.1140517278E+01,   0.0000000000000000     
    3.7165137731E-03,    0.0000000000E+00,    7.8524701708E+01,    1.2095388544E+02,    1.4785551582E+02,    1.9054225097E+02,    1.8587349575E+02,    3.7962505114E+03,    2.2404085772E+02,    2.1239691006E+02,    1.4785551582E+02,    1.2095388544E+02,    7.8524701708E+01,   0.0000000000000000     
    3.7947705400E-03,    0.0000000000E+00,    7.6013495088E+01,    1.1724768762E+02,    1.4347241329E+02,    1.8510908081E+02,    1.8050988913E+02,    3.6738284138E+03,    2.1818359131E+02,    2.0677284040E+02,    1.4347241329E+02,    1.1724768762E+02,    7.6013495088E+01,   0.0000000000000000     
    3.8746751205E-03,    0.0000000000E+00,    7.3606201636E+01,    1.1368739041E+02,    1.3925611813E+02,    1.7987436463E+02,    1.7534416320E+02,    3.5565788785E+03,    2.1253216631E+02,    2.0134840650E+02,    1.3925611813E+02,    1.1368739041E+02,    7.3606201636E+01,   0.0000000000000000     
    3.9562622115E-03,    0.0000000000E+00,    7.1301362205E+01,    1.1027118244E+02,    1.3520473289E+02,    1.7483608630E+02,    1.7037427924E+02,    3.4444266637E+03,    2.0708465712E+02,    1.9612164396E+02,    1.3520473289E+02,    1.1027118244E+02,    7.1301362205E+01,   0.0000000000000000     
    4.0395672411E-03,    0.0000000000E+00,    6.9096666001E+01,    1.0699607658E+02,    1.3131502968E+02,    1.6999066511E+02,    1.6559663794E+02,    3.3372539501E+03,    2.0183752372E+02,    1.9108901351E+02,    1.3131502968E+02,    1.0699607658E+02,    6.9096666001E+01,   0.0000000000000000     
    4.1246263829E-03,    0.0000000000E+00,    6.6988854777E+01,    1.0385777677E+02,    1.2758229879E+02,    1.6533277685E+02,    1.6100590110E+02,    3.2348955603E+03,    1.9678542630E+02,    1.8624522056E+02,    1.2758229879E+02,    1.0385777677E+02,    6.6988854777E+01,   0.0000000000000000     
    4.2114765724E-03,    0.0000000000E+00,    6.4973618913E+01,    1.0085053360E+02,    1.2400018458E+02,    1.6085515972E+02,    1.5659479810E+02,    3.1371337749E+03,    1.9192102424E+02,    1.8158301942E+02,    1.2400018458E+02,    1.0085053360E+02,    6.4973618913E+01,   0.0000000000000000     
    4.3001555228E-03,    0.0000000000E+00,    6.3045484794E+01,    9.7966987701E+01,    1.2056050741E+02,    1.5654840380E+02,    1.5235391620E+02,    3.0436927149E+03,    1.8723475795E+02,    1.7709300103E+02,    1.2056050741E+02,    9.7966987701E+01,    6.3045484794E+01,   0.0000000000000000     
    4.3907017413E-03,    0.0000000000E+00,    6.1167591318E+01,    9.5156677013E+01,    1.1720648023E+02,    1.5234615986E+02,    1.4821704055E+02,    2.9527276166E+03,    1.8265843961E+02,    1.7270846705E+02,    1.1720648023E+02,    9.5156677013E+01,    6.1167591318E+01,   0.0000000000000000     
    4.4831545462E-03,    0.0000000000E+00,    5.9145650839E+01,    9.2153008734E+01,    1.1363762280E+02,    1.4789666849E+02,    1.4383323016E+02,    2.8545247169E+03,    1.7783003983E+02,    1.6807556517E+02,    1.1363762280E+02,    9.2153008734E+01,    5.9145650839E+01,   0.0000000000000000     
    4.5775540835E-03,    0.0000000000E+00,    5.7184116938E+01,    8.9236760517E+01,    1.1017058478E+02,    1.4357088286E+02,    1.3957252925E+02,    2.7593016107E+03,    1.7313155229E+02,    1.6356755863E+02,    1.1017058478E+02,    8.9236760517E+01,    5.7184116938E+01,   0.0000000000000000     
    4.6739413444E-03,    0.0000000000E+00,    5.5284196233E+01,    8.6409671890E+01,    1.0680739241E+02,    1.3937127262E+02,    1.3543738185E+02,    2.6671165682E+03,    1.6856560092E+02,    1.5918697533E+02,    1.0680739241E+02,    8.6409671890E+01,    5.5284196233E+01,   0.0000000000000000     
    4.7723581836E-03,    0.0000000000E+00,    5.3446831045E+01,    8.3673094549E+01,    1.0354961617E+02,    1.3529974816E+02,    1.3142967623E+02,    2.5780147510E+03,    1.6413421720E+02,    1.5493577482E+02,    1.0354961617E+02,    8.3673094549E+01,    5.3446831045E+01,   0.0000000000000000     
    4.8728473369E-03,    0.0000000000E+00,    5.1672662991E+01,    8.1027939029E+01,    1.0039830814E+02,    1.3135758373E+02,    1.2755066857E+02,    2.4920264129E+03,    1.5983875867E+02,    1.5081527004E+02,    1.0039830814E+02,    8.1027939029E+01,    5.1672662991E+01,   0.0000000000000000     
    4.9754524398E-03,    0.0000000000E+00,    4.9961993308E+01,    7.8474616570E+01,    9.7353933728E+01,    1.2754533371E+02,    1.2380089976E+02,    2.4091649398E+03,    1.5567982003E+02,    1.4682604206E+02,    9.7353933728E+01,    7.8474616570E+01,    4.9961993308E+01,   0.0000000000000000     
